TimeSt,_ID,Country,Province,City,Latitude,Longitude,POI_Number,POI_Latitude,POI_Longitude
47:07.0,5189946,CA,QC,Trois-Rivières,46.3776,-72.5352,2,45.521629,-73.566024
50:13.8,5229567,CA,ON,Newmarket,44.0542,-79.4531,2,45.521629,-73.566024
50:34.6,5233331,CA,QC,Sainte-Foy,46.7823,-71.2882,2,45.521629,-73.566024
50:37.5,5233538,CA,QC,Montreal,45.65,-73.4833,2,45.521629,-73.566024
52:22.5,5258354,CA,AB,Calgary,51.0823,-113.9578,1,53.546167,-113.485734
52:28.9,5259170,CA,ON,Markham,43.8341,-79.3302,2,45.521629,-73.566024
53:47.7,5276148,CA,ON,Markham,43.88,-79.2543,2,45.521629,-73.566024
54:21.2,5284621,CA,ON,Toronto,43.7028,-79.3877,2,45.521629,-73.566024
54:46.5,5293133,CA,ON,Innisfil,44.3479,-79.5594,2,45.521629,-73.566024
54:47.8,5293523,CA,ON,Toronto,43.6682,-79.4209,2,45.521629,-73.566024
54:49.2,5295196,CA,AB,Chestermere,51.0278,-113.836,1,53.546167,-113.485734
54:59.2,5296625,CA,AB,Calgary,50.90897,-113.93257,1,53.546167,-113.485734
55:43.2,5308552,CA,SK,Saskatoon,52.1225,-106.72488,1,53.546167,-113.485734
56:06.1,5319686,CA,ON,Scarborough,43.7876,-79.1541,2,45.521629,-73.566024
59:17.5,5356293,CA,ON,Burlington,43.3799,-79.7668,2,45.521629,-73.566024
00:26.5,5374201,CA,AB,Lacombe,52.4519,-113.7223,1,53.546167,-113.485734
01:02.7,5380937,CA,SK,Saskatoon,52.122,-106.646,1,53.546167,-113.485734
01:05.2,4536623,CA,AB,Calgary,50.9505,-113.947,1,53.546167,-113.485734
01:36.7,4554446,CA,ON,Bowmanville,43.908,-78.707,2,45.521629,-73.566024
01:50.9,4568655,CA,ON,Thunder Bay,48.4084,-89.255,2,45.521629,-73.566024
01:51.7,4565930,CA,AB,Calgary,50.9632,-114.082,1,53.546167,-113.485734
04:46.2,4609486,CA,ON,Burlington,43.303,-79.7988,2,45.521629,-73.566024
04:55.7,4612103,CA,SK,Saskatoon,52.1218,-106.645,1,53.546167,-113.485734
05:14.8,5423871,CA,AB,Edmonton,53.5527,-113.42168,1,53.546167,-113.485734
05:40.9,4621636,CA,ON,Milton,43.506,-79.876,2,45.521629,-73.566024
05:47.3,4623140,CA,AB,Edmonton,53.4749,-113.541,1,53.546167,-113.485734
05:48.6,4624028,CA,AB,Jasper,52.8522,-118.08258,1,53.546167,-113.485734
05:56.1,4625034,CA,ON,Barrie,44.3851,-79.6991,2,45.521629,-73.566024
06:11.4,4630867,CA,QC,Montréal-Nord,45.6096,-73.6251,2,45.521629,-73.566024
06:19.2,4632204,CA,AB,Calgary,51.053,-114.161,1,53.546167,-113.485734
06:34.3,5433425,CA,ON,Kingsville-Cottam,42.1769,-82.7635,2,45.521629,-73.566024
07:02.5,4642534,CA,BC,Richmond,49.16542,-123.12659,1,53.546167,-113.485734
07:03.8,4643116,CA,ON,Markham,43.8436,-79.2741,2,45.521629,-73.566024
07:12.4,4645146,CA,ON,Ottawa,45.4179,-75.6489,2,45.521629,-73.566024
07:12.9,5440086,CA,AB,Calgary,50.88663,-114.04885,1,53.546167,-113.485734
07:23.5,5442086,CA,QC,Sainte-Foy,46.7806,-71.2888,2,45.521629,-73.566024
08:43.3,4666873,CA,BC,Vancouver,49.2155,-123.135,1,53.546167,-113.485734
09:14.9,4674472,CA,AB,Edmonton,53.6313,-113.5245,1,53.546167,-113.485734
09:44.1,5459613,CA,AB,Calgary,50.8837,-114.0326,1,53.546167,-113.485734
09:52.7,4681687,CA,ON,Innisfil,44.3479,-79.5594,2,45.521629,-73.566024
10:00.5,4682055,CA,AB,Brooks,50.5626,-111.907,1,53.546167,-113.485734
10:20.6,4685660,CA,BC,Sparwood,49.74135,-114.87182,1,53.546167,-113.485734
10:33.4,5470433,CA,SK,Saskatoon,52.1225,-106.72488,1,53.546167,-113.485734
10:45.3,5471262,CA,ON,Poplar Hill,52.0831,-94.3068,1,53.546167,-113.485734
11:00.4,5472880,CA,AB,Edmonton,53.5645,-113.4022,1,53.546167,-113.485734
11:26.5,5481700,CA,SK,Simpson,51.4697,-105.45,1,53.546167,-113.485734
11:27.9,5482479,CA,AB,Calgary,50.9819,-114.1004,1,53.546167,-113.485734
11:31.7,5483437,CA,AB,Calgary,51.0621,-114.1159,1,53.546167,-113.485734
11:44.6,4703096,CA,ON,Kitchener,43.4381,-80.5099,2,45.521629,-73.566024
11:57.8,5488222,CA,AB,Red Deer,52.2895,-113.814,1,53.546167,-113.485734
13:31.6,5504943,CA,ON,Toronto,43.7033,-79.4152,2,45.521629,-73.566024
13:31.7,5504970,CA,ON,Toronto,43.7033,-79.4152,2,45.521629,-73.566024
13:39.6,4724450,CA,ON,Toronto,43.672,-79.3791,2,45.521629,-73.566024
13:46.1,4725269,CA,AB,Calgary,51.0486,-113.968,1,53.546167,-113.485734
14:17.6,5510706,CA,SK,Saskatoon,52.1225,-106.72488,1,53.546167,-113.485734
15:15.4,5520666,CA,ON,Mississauga,43.58264,-79.66739,2,45.521629,-73.566024
15:18.0,5521530,CA,NS,Washabuck Centre,46.0963,-60.7492,3,45.22483,-63.232729
16:18.6,5532999,CA,NS,Dartmouth,44.6781,-63.5121,3,45.22483,-63.232729
16:25.0,4765659,CA,AB,Calgary,51.0829,-114.095,1,53.546167,-113.485734
17:09.4,5541348,CA,AB,Mackenzie,59.16394,-118.68253,1,53.546167,-113.485734
17:24.8,4782352,CA,ON,Barrie,44.3303,-79.7268,2,45.521629,-73.566024
17:27.0,4783206,CA,AB,Airdrie,51.3082,-114.0398,1,53.546167,-113.485734
19:21.0,5574173,CA,ON,Golden Lake,45.6278,-77.339,2,45.521629,-73.566024
19:31.9,4807342,CA,AB,Edmonton,53.44119,-113.43181,1,53.546167,-113.485734
19:32.8,4807557,CA,QC,Lévis,46.79588,-71.17545,2,45.521629,-73.566024
20:15.2,5583251,CA,QC,Gatineau,45.4152,-75.8753,2,45.521629,-73.566024
20:20.7,5584273,CA,ON,Ottawa,45.3804,-75.7468,2,45.521629,-73.566024
20:26.7,4816177,CA,QC,Montréal,45.4934,-73.5837,2,45.521629,-73.566024
20:36.0,4818900,CA,ON,Petrolia,42.88485,-82.47829,2,45.521629,-73.566024
20:59.4,5591435,CA,ON,Toronto,43.6575,-79.3783,2,45.521629,-73.566024
21:14.4,4827691,CA,QC,Montréal,45.6043,-73.5178,2,45.521629,-73.566024
21:43.4,4833692,CA,ON,Etobicoke,43.6068,-79.5063,2,45.521629,-73.566024
21:55.9,5605468,CA,AB,Calgary,51.09295,-114.14324,1,53.546167,-113.485734
22:22.7,4840583,CA,QC,Laval,45.561,-73.6809,2,45.521629,-73.566024
22:22.8,5608835,CA,BC,Merritt,50.12306,-120.78589,1,53.546167,-113.485734
22:36.4,4842384,CA,MB,Winnipeg,49.9361,-97.1454,1,53.546167,-113.485734
22:43.6,4843274,CA,ON,Toronto,43.66764,-79.31539,2,45.521629,-73.566024
23:15.7,4850420,CA,QC,Chambly,45.4491,-73.2918,2,45.521629,-73.566024
24:03.3,4861632,CA,AB,Calgary,51.1264,-114.1419,1,53.546167,-113.485734
26:04.7,4884160,CA,AB,Sherwood Park,53.5282,-113.289,1,53.546167,-113.485734
26:15.6,4886088,CA,AB,Calgary,50.90765,-114.06429,1,53.546167,-113.485734
27:18.6,4898729,CA,SK,Davidson,51.2667,-105.9667,1,53.546167,-113.485734
28:51.2,4914294,CA,ON,Oakville,43.4934,-79.7126,2,45.521629,-73.566024
29:18.6,4919133,CA,AB,Calgary,51.1229,-114.189,1,53.546167,-113.485734
30:05.1,4928796,CA,ON,Mississauga,43.6046,-79.6729,2,45.521629,-73.566024
31:11.1,4950462,CA,ON,Peterborough,44.3311,-78.3331,2,45.521629,-73.566024
32:17.7,4968697,CA,AB,Calgary,51.1387,-114.2015,1,53.546167,-113.485734
34:26.5,5005546,CA,AB,Calgary,50.8837,-114.0326,1,53.546167,-113.485734
34:55.3,5016957,CA,AB,Leduc,53.2668,-113.552,1,53.546167,-113.485734
35:22.4,5023931,CA,ON,Mississauga,43.5738,-79.7193,2,45.521629,-73.566024
35:57.6,5029813,CA,AB,Fort Mcmurray,56.7377,-111.438,1,53.546167,-113.485734
36:13.9,5033627,CA,AB,Calgary,51.1414,-114.076,1,53.546167,-113.485734
37:09.8,5045715,CA,ON,Sudbury,46.5213,-80.947,2,45.521629,-73.566024
38:55.6,5073532,CA,AB,Calgary,51.01511,-114.16271,1,53.546167,-113.485734
39:56.8,5086214,CA,AB,Calgary,51.1387,-114.2015,1,53.546167,-113.485734
40:01.4,5087554,CA,ON,London,43.01776,-81.23715,2,45.521629,-73.566024
40:01.4,5087811,CA,QC,Montréal-Nord,45.5876,-73.64393,2,45.521629,-73.566024
41:02.2,5098943,CA,ON,North York,43.787,-79.4169,2,45.521629,-73.566024
41:48.2,5111054,CA,ON,Mississauga,43.5738,-79.7193,2,45.521629,-73.566024
42:35.4,5123426,CA,AB,Ponoka,52.6768,-113.5815,1,53.546167,-113.485734
42:43.1,5125253,CA,ON,Toronto,43.7056,-79.4279,2,45.521629,-73.566024
42:58.2,5129758,CA,AB,Red Deer,52.2694,-113.769,1,53.546167,-113.485734
43:48.4,5141970,CA,AB,Calgary,51.0475,-114.068,1,53.546167,-113.485734
44:00.0,5144514,CA,AB,Edmonton,53.4249,-113.595,1,53.546167,-113.485734
44:23.9,5152448,CA,AB,Ponoka,52.67013,-113.56143,1,53.546167,-113.485734
45:05.8,5160341,CA,ON,Lindsay,44.2915,-78.5495,2,45.521629,-73.566024
45:05.8,5160999,CA,AB,Edmonton,53.55,-113.5,1,53.546167,-113.485734
49:00.9,5214320,CA,AB,Calgary,51.0196,-114.20029,1,53.546167,-113.485734
49:04.3,5215556,CA,ON,Toronto,43.7068,-79.3991,2,45.521629,-73.566024
49:58.7,5226436,CA,AB,Eckville,52.3501,-114.3687,1,53.546167,-113.485734
50:47.8,5236165,CA,ON,Toronto,43.707,-79.3974,2,45.521629,-73.566024
51:01.9,5239786,CA,AB,Calgary,51.12089,-114.15571,1,53.546167,-113.485734
51:17.0,5242968,CA,MB,Winnipeg,49.8906,-97.1458,1,53.546167,-113.485734
51:47.1,5250895,CA,BC,Golden,51.3065,-116.954,1,53.546167,-113.485734
52:31.6,5260912,CA,AB,Edmonton,53.4829,-113.499,1,53.546167,-113.485734
54:22.5,5285042,CA,AB,Edmonton,53.54318,-113.4779,1,53.546167,-113.485734
54:29.1,5285607,CA,AB,Cochrane,51.2021,-114.2453,1,53.546167,-113.485734
54:44.0,5292748,CA,AB,Edmonton,53.5105,-113.37,1,53.546167,-113.485734
55:35.7,5307306,CA,ON,Kingston,44.2647,-76.5504,2,45.521629,-73.566024
55:36.0,5306806,CA,ON,Toronto,43.6682,-79.4209,2,45.521629,-73.566024
55:37.9,5306963,CA,AB,Edmonton,53.5478,-113.59431,1,53.546167,-113.485734
55:44.7,5309827,CA,ON,Barrie,44.4015,-79.6782,2,45.521629,-73.566024
56:00.0,5315587,CA,ON,Brantford,43.14741,-80.2448,2,45.521629,-73.566024
57:31.2,5334705,CA,AB,Calgary,51.102,-114.152,1,53.546167,-113.485734
58:45.4,5348046,CA,AB,Calgary,51.0272,-114.0349,1,53.546167,-113.485734
59:01.4,5352654,CA,AB,Calgary,51.0833,-114.0833,1,53.546167,-113.485734
59:16.4,5356807,CA,QC,Montréal,45.5514,-73.6116,2,45.521629,-73.566024
00:00.9,4518002,CA,ON,Kitchener,43.4397,-80.434,2,45.521629,-73.566024
00:41.7,4531843,CA,AB,Red Deer,52.2651,-113.794,1,53.546167,-113.485734
01:27.1,4546560,CA,AB,Fort Mcmurray,56.72181,-111.46993,1,53.546167,-113.485734
01:36.9,4553791,CA,ON,Georgetown,43.5976,-79.94,2,45.521629,-73.566024
01:42.7,4558907,CA,AB,St Albert,53.62972,-113.58817,1,53.546167,-113.485734
01:46.8,4562336,CA,ON,Barrie,44.3851,-79.6991,2,45.521629,-73.566024
01:51.8,4564883,CA,AB,Calgary,51.0378,-114.08,1,53.546167,-113.485734
02:53.0,4586565,CA,ON,Fort Frances,48.6116,-93.3976,1,53.546167,-113.485734
03:15.6,4591655,CA,AB,Calgary,51.0242,-114.1004,1,53.546167,-113.485734
03:28.3,4593424,CA,ON,North York,43.76187,-79.57559,2,45.521629,-73.566024
04:16.2,5412169,CA,SK,Saskatoon,52.1225,-106.72488,1,53.546167,-113.485734
04:23.5,5413255,CA,ON,Kitchener,43.4494,-80.47396,2,45.521629,-73.566024
04:40.8,4607985,CA,AB,Calgary,51.0494,-113.9564,1,53.546167,-113.485734
04:44.4,5419013,CA,NS,Halifax,44.6496,-63.6133,3,45.22483,-63.232729
05:09.5,4613807,CA,AB,Red Deer,52.2468,-113.788,1,53.546167,-113.485734
06:12.0,4630476,CA,ON,Toronto,43.66699,-79.37618,2,45.521629,-73.566024
06:17.9,4632095,CA,ON,Sudbury,46.4946,-81.0066,2,45.521629,-73.566024
06:26.0,4633165,CA,AB,Edmonton,53.55,-113.5,1,53.546167,-113.485734
06:40.7,5434113,CA,ON,Kitchener,43.4106,-80.5011,2,45.521629,-73.566024
06:48.0,5434800,CA,ON,Scarborough,43.836,-79.22759,2,45.521629,-73.566024
06:56.9,4640302,CA,ON,Thunder Bay,48.3956,-89.2905,2,45.521629,-73.566024
07:08.4,5439738,CA,ON,Toronto,43.6575,-79.3783,2,45.521629,-73.566024
07:12.0,5439723,CA,BC,Vancouver,49.293,-123.048,1,53.546167,-113.485734
07:51.0,4656271,CA,ON,Barrie,44.3586,-79.6965,2,45.521629,-73.566024
08:10.5,5447116,CA,AB,Red Deer,52.2651,-113.794,1,53.546167,-113.485734
08:21.4,4663006,CA,ON,Bolton,43.88897,-79.72822,2,45.521629,-73.566024
08:48.1,4668216,CA,AB,Calgary,51.0829,-114.095,1,53.546167,-113.485734
08:48.3,4668023,CA,AB,Edmonton,53.55,-113.5,1,53.546167,-113.485734
09:17.0,5457278,CA,ON,Toronto,43.67197,-79.38391,2,45.521629,-73.566024
10:09.8,4684462,CA,AB,Calgary,51.0494,-113.9564,1,53.546167,-113.485734
10:11.0,5464845,CA,ON,Etobicoke,43.6928,-79.531,2,45.521629,-73.566024
10:15.6,4684763,CA,AB,Calgary,51.0524,-114.038,1,53.546167,-113.485734
12:30.3,4712414,CA,ON,Toronto,43.6604,-79.36318,2,45.521629,-73.566024
12:38.1,5493232,CA,AB,Calgary,50.9819,-114.1004,1,53.546167,-113.485734
12:48.1,4715223,CA,NS,Dartmouth,44.71017,-63.60486,3,45.22483,-63.232729
13:13.0,5499894,CA,ON,Toronto,43.6796,-79.4343,2,45.521629,-73.566024
13:20.0,5502933,CA,ON,Etobicoke,43.6068,-79.5063,2,45.521629,-73.566024
14:01.7,4731541,CA,AB,Calgary,51.08204,-113.96272,1,53.546167,-113.485734
14:04.6,4734036,CA,AB,Olds,51.7989,-114.118,1,53.546167,-113.485734
15:01.9,4745813,CA,AB,Calgary,51.053,-114.161,1,53.546167,-113.485734
15:37.2,4755344,CA,MB,Winnipeg,49.8858,-97.225,1,53.546167,-113.485734
15:55.7,4759735,CA,QC,Sainte-Foy,46.7823,-71.2882,2,45.521629,-73.566024
16:08.9,5530832,CA,AB,Calgary,51.02092,-114.10621,1,53.546167,-113.485734
16:24.3,5533946,CA,QC,Gatineau,45.43712,-75.78686,2,45.521629,-73.566024
16:46.8,5537121,CA,QC,Montréal,45.5435,-73.6341,2,45.521629,-73.566024
17:11.2,5540931,CA,ON,Toronto,43.76483,-79.40995,2,45.521629,-73.566024
18:50.3,5565604,CA,AB,Calgary,51.05198,-113.93554,1,53.546167,-113.485734
19:02.4,4802300,CA,QC,Châteauguay,45.3492,-73.7353,2,45.521629,-73.566024
19:05.2,5567886,CA,ON,Welland,42.9933,-79.2392,2,45.521629,-73.566024
19:09.2,5571118,CA,BC,Williams Lake,52.14921,-122.16349,1,53.546167,-113.485734
19:11.5,4804261,CA,ON,Ancaster,43.208,-79.9652,2,45.521629,-73.566024
19:32.9,4807364,CA,QC,Québec,46.8556,-71.2449,2,45.521629,-73.566024
20:49.0,5589152,CA,AB,Fort Mcmurray,56.7507,-111.446,1,53.546167,-113.485734
21:21.9,5597580,CA,ON,Bowmanville,43.91793,-78.59696,2,45.521629,-73.566024
22:10.6,5607800,CA,MB,Winnipeg,49.9429,-97.1651,1,53.546167,-113.485734
22:22.8,5608387,CA,AB,Calgary,50.95566,-114.09542,1,53.546167,-113.485734
23:15.9,4851141,CA,ON,Ottawa,45.4177,-75.6977,2,45.521629,-73.566024
23:22.3,4851905,CA,AB,Calgary,51.1229,-114.189,1,53.546167,-113.485734
23:46.0,4859413,CA,ON,Toronto,43.6606,-79.4635,2,45.521629,-73.566024
24:48.5,4870422,CA,ON,Burlington,43.35,-79.758,2,45.521629,-73.566024
24:52.7,4870297,CA,ON,Saint Catharines,43.1593,-79.2615,2,45.521629,-73.566024
27:15.7,4897021,CA,AB,Edmonton,53.44218,-113.44523,1,53.546167,-113.485734
27:48.8,4902501,CA,AB,Edmonton,53.5366,-113.5103,1,53.546167,-113.485734
28:22.2,4910560,CA,ON,Fort Erie,42.90265,-78.9347,2,45.521629,-73.566024
29:42.2,4924496,CA,ON,Brockville,44.5946,-75.68105,2,45.521629,-73.566024
30:24.4,4932653,CA,SK,Saskatoon,52.1225,-106.72488,1,53.546167,-113.485734
30:28.9,4933888,CA,AB,Edmonton,53.4514,-113.42489,1,53.546167,-113.485734
30:42.8,4939642,CA,AB,Edmonton,53.44231,-113.44509,1,53.546167,-113.485734
31:08.7,4946250,CA,ON,Peterborough,44.3311,-78.3331,2,45.521629,-73.566024
31:35.8,4958234,CA,ON,Kanata,45.36897,-75.94475,2,45.521629,-73.566024
32:09.4,4967339,CA,NB,Moncton,46.1183,-64.7338,3,45.22483,-63.232729
34:33.5,5008284,CA,QC,Sainte-Foy,46.7823,-71.2882,2,45.521629,-73.566024
34:42.4,5012005,CA,AB,Calgary,51.1229,-114.189,1,53.546167,-113.485734
34:43.6,5013998,CA,ON,Dundas,43.2649,-79.9555,2,45.521629,-73.566024
35:32.5,5025324,CA,AB,Edmonton,53.5314,-113.582,1,53.546167,-113.485734
36:48.1,5041164,CA,AB,Calgary,50.9093,-114.1028,1,53.546167,-113.485734
37:20.7,5048558,CA,QC,Laval,45.608,-73.7439,2,45.521629,-73.566024
38:03.6,5062016,CA,ON,Scarborough,43.78424,-79.28396,2,45.521629,-73.566024
38:44.9,5070333,CA,AB,Beaumont,53.43276,-113.43939,1,53.546167,-113.485734
39:05.4,5075557,CA,AB,Calgary,50.9316,-114.096,1,53.546167,-113.485734
40:45.0,5095919,CA,ON,Kanata,45.2975,-75.9199,2,45.521629,-73.566024
40:49.8,5096891,CA,ON,Mississauga,43.58596,-79.78283,2,45.521629,-73.566024
41:21.0,5104286,CA,QC,Montréal,45.4978,-73.5798,2,45.521629,-73.566024
43:03.6,5131223,CA,AB,Edmonton,53.4416,-113.4157,1,53.546167,-113.485734
43:43.2,5140479,CA,ON,Toronto,43.6682,-79.4209,2,45.521629,-73.566024
43:55.5,5144032,CA,QC,Saint-Laurent,45.50381,-73.68475,2,45.521629,-73.566024
43:59.3,5144127,CA,ON,Mississauga,43.5738,-79.7193,2,45.521629,-73.566024
44:05.9,5147394,CA,ON,Milton,43.5148,-79.884,2,45.521629,-73.566024
44:19.7,5152013,CA,ON,Ancaster,43.2614,-79.823,2,45.521629,-73.566024
44:30.7,5154324,CA,AB,Calgary,51.0196,-114.20029,1,53.546167,-113.485734
46:15.5,5180999,CA,ON,Mississauga,43.5738,-79.7193,2,45.521629,-73.566024
47:15.1,5192348,CA,ON,North York,43.7534,-79.3272,2,45.521629,-73.566024
49:56.9,5225707,CA,AB,Fort Mcmurray,56.74285,-111.47653,1,53.546167,-113.485734
50:19.1,5230409,CA,BC,Richmond,49.1679,-123.117,1,53.546167,-113.485734
50:35.2,5233435,CA,AB,Edmonton,53.44221,-113.4451,1,53.546167,-113.485734
52:42.9,5264074,CA,AB,Calgary,51.0242,-114.1004,1,53.546167,-113.485734
52:48.6,5265637,CA,QC,Brossard,45.4571,-73.4922,2,45.521629,-73.566024
54:29.3,5286247,CA,ON,Mississauga,43.57,-79.5808,2,45.521629,-73.566024
55:50.9,5310019,CA,ON,Nepean,45.2778,-75.7563,2,45.521629,-73.566024
55:59.7,5315327,CA,ON,London,43.00709,-81.16576,2,45.521629,-73.566024
56:19.6,5323033,CA,BC,Vernon,50.23616,-119.4407,1,53.546167,-113.485734
56:38.9,5325840,CA,ON,Alliston,44.1492,-79.8553,2,45.521629,-73.566024
56:45.2,5326532,CA,ON,Mississauga,43.606,-79.6708,2,45.521629,-73.566024
57:01.8,5330786,CA,AB,Edmonton,53.44244,-113.44506,1,53.546167,-113.485734
58:09.9,5341051,CA,AB,Fort Mcmurray,56.75011,-111.45192,1,53.546167,-113.485734
58:32.2,5345313,CA,ON,Oshawa,43.9205,-78.8287,2,45.521629,-73.566024
58:52.6,5348978,CA,ON,Trenton,44.0992,-77.5776,2,45.521629,-73.566024
00:00.9,4516831,CA,ON,London,43.0091,-81.1765,2,45.521629,-73.566024
00:17.5,5370942,CA,ON,Niagara Falls,43.0966,-79.1276,2,45.521629,-73.566024
00:42.4,4531777,CA,ON,Chatham,42.3778,-82.1897,2,45.521629,-73.566024
01:29.7,4548444,CA,ON,London,42.9832,-81.2847,2,45.521629,-73.566024
01:34.9,4552420,CA,ON,Kitchener,43.4278,-80.5135,2,45.521629,-73.566024
01:36.5,4554316,CA,ON,Waterloo,43.4634,-80.5201,2,45.521629,-73.566024
01:36.6,4557125,CA,ON,London,42.9923,-81.2531,2,45.521629,-73.566024
01:37.1,4556455,CA,ON,Toronto,43.6459,-79.3857,2,45.521629,-73.566024
01:50.3,4565609,CA,ON,Barrie,44.3303,-79.7268,2,45.521629,-73.566024
04:29.4,5414269,CA,ON,Toronto,43.6651,-79.4369,2,45.521629,-73.566024
05:31.8,4618265,CA,QC,Montréal,45.5378,-73.6941,2,45.521629,-73.566024
06:45.2,4637978,CA,ON,Toronto,43.7056,-79.4279,2,45.521629,-73.566024
07:23.9,5441883,CA,QC,Sainte-Foy,46.7806,-71.2888,2,45.521629,-73.566024
07:28.2,5443000,CA,AB,Edmonton,53.40441,-113.52367,1,53.546167,-113.485734
